Kernel,Gamma,C,Degree,Val Accuracy,Time Taken (s)
linear,auto,100.0,3,80.51948,0.022
linear,auto,10.0,3,80.51948,0.006
linear,auto,1.0,3,80.51948,0.003
linear,auto,0.1,3,80.51948,0.003
linear,scale,100.0,3,80.51948,0.021
linear,scale,10.0,3,80.51948,0.007
linear,scale,1.0,3,80.51948,0.004
linear,scale,0.1,3,80.51948,0.003
poly,auto,100.0,4,70.12987,22.584
poly,auto,100.0,3,75.32468,1.965
poly,auto,100.0,2,70.12987,0.055
poly,auto,100.0,1,80.51948,0.022
poly,auto,100.0,0,70.12987,0.004
poly,auto,10.0,5,75.32468,5.535
poly,auto,10.0,4,70.12987,0.391
poly,auto,10.0,3,75.32468,0.044
poly,auto,10.0,2,70.12987,0.01
poly,auto,10.0,1,80.51948,0.007
poly,auto,10.0,0,70.12987,0.003
poly,auto,1.0,6,70.12987,12.368
poly,auto,1.0,5,75.32468,3.395
poly,auto,1.0,4,70.12987,0.052
poly,auto,1.0,3,75.32468,0.01
poly,auto,1.0,2,70.12987,0.006
poly,auto,1.0,1,80.51948,0.004
poly,auto,1.0,0,70.12987,0.003
poly,auto,0.1,6,70.12987,0.236
poly,auto,0.1,5,75.32468,0.031
poly,auto,0.1,4,70.12987,0.01
poly,auto,0.1,3,75.32468,0.005
poly,auto,0.1,2,70.12987,0.004
poly,auto,0.1,1,80.51948,0.004
poly,auto,0.1,0,70.12987,0.003
poly,scale,100.0,4,70.12987,2.681
poly,scale,100.0,3,75.32468,0.757
poly,scale,100.0,2,70.12987,0.029
poly,scale,100.0,1,80.51948,0.017
poly,scale,100.0,0,70.12987,0.004
poly,scale,10.0,5,75.32468,2.224
poly,scale,10.0,4,70.12987,0.087
poly,scale,10.0,3,75.32468,0.017
poly,scale,10.0,2,70.12987,0.01
poly,scale,10.0,1,80.51948,0.006
poly,scale,10.0,0,70.12987,0.003
poly,scale,1.0,6,70.12987,0.225
poly,scale,1.0,5,75.32468,0.044
poly,scale,1.0,4,70.12987,0.013
poly,scale,1.0,3,75.32468,0.006
poly,scale,1.0,2,70.12987,0.005
poly,scale,1.0,1,80.51948,0.004
poly,scale,1.0,0,70.12987,0.003
poly,scale,0.1,6,70.12987,0.023
poly,scale,0.1,5,75.32468,0.01
poly,scale,0.1,4,70.12987,0.007
poly,scale,0.1,3,75.32468,0.004
poly,scale,0.1,2,70.12987,0.004
poly,scale,0.1,1,80.51948,0.004
poly,scale,0.1,0,70.12987,0.004
rbf,auto,100.0,3,80.51948,0.075
rbf,auto,10.0,3,80.51948,0.014
rbf,auto,1.0,3,79.22078,0.009
rbf,auto,0.1,3,80.51948,0.008
rbf,scale,100.0,3,80.51948,0.034
rbf,scale,10.0,3,79.22078,0.013
rbf,scale,1.0,3,80.51948,0.009
rbf,scale,0.1,3,80.51948,0.008
sigmoid,auto,100.0,3,67.53247,0.006
sigmoid,auto,10.0,3,68.83117,0.007
sigmoid,auto,1.0,3,67.53247,0.007
sigmoid,auto,0.1,3,68.83117,0.008
sigmoid,scale,100.0,3,68.83117,0.006
sigmoid,scale,10.0,3,68.83117,0.006
sigmoid,scale,1.0,3,68.83117,0.007
sigmoid,scale,0.1,3,70.12987,0.007
